club_name,player_name,age,position,specific_position,club_involved_name,fee,type_operation,fee_cleaned,year,season
Al-Hilal SFC,Khaled Aziz,18,Midfield,Defensive Midfield,Unknown,transfer,transfer,1300000.0,2000,2000/2001
Al-Hilal SFC,Sami Al-Jaber,27,Forward,Centre-Forward,Wolves,loan transfer,loan,0.0,2000,2000/2001
Al-Hilal SFC,Fahad Al-Ghesheyan,26,Forward,Right Winger,Al-Nasr SC,transfer,transfer,1300000.0,2000,2000/2001
Al-Hilal SFC,Saleh Al-Salloumi,37,Goalkeeper,Goalkeeper,Retired,retired,retired,0.0,2000,2000/2001
Al-Hilal SFC,Elijah Litana,29,Defence,Centre-Back,Retired,retired,retired,0.0,2000,2000/2001
Ittihad Club,Marzouq Al-Otaibi,24,Forward,Centre-Forward,Al-Shabab SC,€2.00m,transfer,2000000.0,2000,2000/2001
Ittihad Club,Khalid Massad,28,Midfield,Attacking Midfield,Al-Ahli SC,free transfer,free,0.0,2000,2000/2001
Ittihad Club,Ivan Malimon,21,Forward,Centre-Forward,Edessaikos,free transfer,free,0.0,2000,2000/2001
Ittihad Club,Manaf Abushgeer,20,Midfield,Left Midfield,Ittihad Club,transfer,transfer,1300000.0,2000,2000/2001
Ittihad Club,Darci,31,Forward,Left Winger,Antalyaspor,transfer,transfer,1300000.0,2000,2000/2001
Ittihad Club,Macros Pereira,26,Forward,Attack,Seongnam Ilhwa,transfer,transfer,1300000.0,2000,2000/2001
Ittihad Club,Roberto Donadoni,36,Midfield,Right Midfield,Retired,retired,retired,0.0,2000,2000/2001
Al-Nassr FC,Saad Al-Shehri,20,Midfield,Midfield,Al-Ettifaq,transfer,transfer,1300000.0,2000,2000/2001
Al-Nassr FC,Fahad Al-Ghesheyan,26,Forward,Right Winger,Al-Hilal FC,transfer,transfer,1300000.0,2000,2000/2001
Al-Nassr FC,Ahmed Bahja,29,Forward,Centre-Forward,Al-Ahli SC,transfer,transfer,1300000.0,2000,2000/2001
Al-Nassr FC,Fahad Al Bishi,34,Midfield,Midfield,Retired,retired,retired,0.0,2000,2000/2001
Al-Nassr FC,Milson,22,Forward,Centre-Forward,Botafogo,"end of loanjun 30, 2000",loan,0.0,2000,2000/2001
Al-Shabab FC,Mustapha Bidoudane,24,Forward,Centre-Forward,FUS Rabat,transfer,transfer,1300000.0,2000,2000/2001
Al-Shabab FC,Redha Tukar,24,Defence,Centre-Back,Ohod Club,transfer,transfer,1300000.0,2000,2000/2001
Al-Shabab FC,Marzouq Al-Otaibi,24,Forward,Centre-Forward,Ittihad Club,€2.00m,transfer,2000000.0,2000,2000/2001
Al-Ahli SFC,Mohammed Husain Bahzad,20,Defence,Centre-Back,Al-Najma,transfer,transfer,1300000.0,2000,2000/2001
Al-Ahli SFC,Naif Al-Qadi,21,Defence,Centre-Back,Unknown,transfer,transfer,1300000.0,2000,2000/2001
